filename,width,height,class,xmin,ymin,xmax,ymax
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,416,416,license-plate,210,256,264,298
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,416,416,vehicle,96,100,136,143
ccc1a2d44a290368_jpg.rf.8e8d6f87f1d1327caf5f80e0c96cdad9.jpg,416,416,vehicle,100,28,376,376
b6580dec5ada277d_jpg.rf.3ec17c0d68df1e6818d590e410bc3d00.jpg,416,416,license-plate,92,184,176,259
b6580dec5ada277d_jpg.rf.3ec17c0d68df1e6818d590e410bc3d00.jpg,416,416,vehicle,37,0,415,415
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416,416,license-plate,156,319,233,366
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416,416,license-plate,221,95,224,100
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416,416,vehicle,34,92,278,400
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416,416,vehicle,159,78,204,108
b1a50a3824887ee2_jpg.rf.68a4fd34fce20184287592f2680f895b.jpg,416,416,vehicle,219,79,264,107
b91c3aaba25bf914_jpg.rf.1f03184f0c412a59b83c4099861cedcf.jpg,416,416,license-plate,111,276,174,300
b91c3aaba25bf914_jpg.rf.1f03184f0c412a59b83c4099861cedcf.jpg,416,416,vehicle,69,128,333,351
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416,416,license-plate,94,206,132,242
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416,416,vehicle,0,120,28,169
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416,416,vehicle,37,64,385,391
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416,416,vehicle,366,75,384,94
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416,416,vehicle,375,71,398,88
ce97f7bc90e97109_jpg.rf.0ee971ca2acc7c8826290a5a80153777.jpg,416,416,vehicle,382,71,416,153
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416,416,license-plate,124,43,147,50
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416,416,license-plate,249,259,320,285
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416,416,vehicle,0,17,19,80
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416,416,vehicle,76,69,360,307
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416,416,vehicle,77,1,166,88
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416,416,vehicle,247,4,298,42
d28d71c2690c16ed_jpg.rf.b7c4b2a5e5870d9fcf8644c109c5457f.jpg,416,416,vehicle,342,37,416,264
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,416,416,license-plate,179,168,264,209
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,416,416,vehicle,43,17,326,311
c91ee912164d8ecb_jpg.rf.5a70d8b40bde25a3a4cb09337bf0c6f9.jpg,416,416,vehicle,277,13,416,222
b8a3f2ea385e45b3_jpg.rf.1b19b61606bd9199fa0f774c35cf8986.jpg,416,416,license-plate,17,287,30,297
